College Code,Institute Name,Applied,Appeared,Passed,A+,Pass %
2105,GOVT. COLLEGE UNIVERSITY LAHORE,1604,1591,1482,694,93.15
2206,GOVT. KINNAIRD COLLEGE FOR WOMEN LAHORE,910,902,856,374,94.90
3671,PAK TURK MAARIF INT. HIGHER SEC SCHOOL,76,76,72,22,94.74
3672,UNIVERSITY OF HOME ECONOMICS LAHORE,170,167,158,23,94.61
1279,EHSAAS COLLEGE FOR GIRLS KANGANPUR,79,79,70,4,88.61
1270,ASPIRE COLLEGE (KASUR CAMPUS) FOR GIRLS,213,211,171,19,81.04
2183,PUNJAB COLLEGE OF INFO. TECH. LAHORE,2065,2057,1432,214,69.62
2104,GOVT. SHALIMAR COLLEGE FOR BOYS,1536,1528,802,63,52.49
1104,GOVT. INTER. COLLEGE FOR BOYS KOT RADHA KISHAN,409,407,219,25,53.81
1117,DISTRICT PUBLIC SCHOOL & COLLEGE FOR BOYS KASUR,49,49,40,4,81.63
1126,PUNJAB COLLEGE FOR BOYS KASUR,331,326,248,39,76.07
1130,PUNJAB COLLEGE FOR BOYS PATTOKI,520,505,346,44,68.51
1101,GOVT. ISLAMIA DEGREE COLLEGE KASUR,686,677,156,3,23.04
1102,GOVT. GRADUATE COLLEGE PATTOKI,446,437,127,3,29.06
1103,GOVT. DEGREE COLLEGE BHAI PHERU,145,145,67,0,46.21
1108,GOVT. HIGHER SECONDARY SCHOOL WAN RADHA RAM,56,55,29,1,52.73
1158,AKHUWAT COLLEGE FOR BOYS KASUR,96,96,96,44,100.00
2206,GOVT. KINNAIRD COLLEGE FOR WOMEN LAHORE,874,858,803,264,93.59
2105,GOVT. COLLEGE UNIVERSITY LAHORE,1234,1219,1110,463,91.06
2274,PUNJAB COLLEGE FOR WOMEN GULBERG LAHORE,4406,4397,4011,1259,91.22
3537,SHARIF TRUST EDUCATIONAL COMPLEX FOR GIRLS,59,58,55,3,94.83
3361,GARRISON POST GRADUATE COLLEGE FOR MEN,220,220,198,8,90.00
3639,GARRISON COLLEGE FOR GIRLS LAHORE CANTT,322,321,311,30,96.88
3671,PAK TURK MAARIF INT. HIGHER SEC SCHOOL GIRLS,54,54,53,8,98.15
1211,ALLAMA IQBAL PUBLIC H.S.S. FOR GIRLS KASUR,7,7,7,1,100.00
1158,AKHUWAT COLLEGE FOR BOYS KASUR,97,95,95,62,100.00
2206,GOVT. KINNAIRD COLLEGE FOR WOMEN LAHORE,955,935,905,422,96.79
2105,GOVT. COLLEGE UNIVERSITY LAHORE,1548,1536,1433,786,93.29
2207,LAHORE COLLEGE FOR WOMEN UNIVERSITY,1320,1313,1249,434,95.13
2274,PUNJAB COLLEGE FOR WOMEN GULBERG LAHORE,3997,3987,3827,1686,95.99
4216,GOVT. GIRLS HIGHER SECONDARY SCHOOL MORE KHUNDA,138,137,137,9,100.00
3671,PAK TURK MAARIF INT. HIGHER SEC SCHOOL GIRLS,64,64,64,34,100.00
1117,THE DISTRICT PUBLIC SCHOOL & COLLEGE FOR BOYS KASUR,24,23,23,4,100.00
3460,GHAZALI PREMIER HIGHER SECONDARY SCHOOL FOR BOYS,18,18,18,10,100.00
1158,AKHUWAT COLLEGE FOR BOYS KASUR,100,100,100,99,100.00
2105,GOVT. COLLEGE UNIVERSITY LAHORE,1468,1463,1458,1312,99.66
2206,GOVT. KINNAIRD COLLEGE FOR WOMEN LAHORE,972,968,964,845,99.59
2207,LAHORE COLLEGE FOR WOMEN UNIVERSITY,1385,1382,1377,1098,99.64
2274,PUNJAB COLLEGE FOR WOMEN GULBERG LAHORE,4589,4578,4562,4012,99.65
3671,PAK TURK MAARIF INT. HIGHER SEC SCHOOL GIRLS,46,46,46,42,100.00
1117,THE DISTRICT PUBLIC SCHOOL & COLLEGE FOR BOYS KASUR,35,35,35,28,100.00
3460,GHAZALI PREMIER HIGHER SECONDARY SCHOOL FOR BOYS,22,22,22,18,100.00
1158,AKHUWAT COLLEGE FOR BOYS KASUR,100,100,100,99,100.00
2206,GOVT. KINNAIRD COLLEGE FOR WOMEN LAHORE,905,902,898,342,99.56
2105,GOVT. COLLEGE UNIVERSITY LAHORE,1580,1575,1568,1210,99.56
2274,PUNJAB COLLEGE FOR WOMEN GULBERG LAHORE,4580,4572,4565,3980,99.85
3671,PAK TURK MAARIF INT. HIGHER SEC SCHOOL GIRLS,54,54,53,8,98.15
3639,GARRISON COLLEGE FOR GIRLS LAHORE CANTT,321,321,311,30,96.88
1211,ALLAMA IQBAL PUBLIC H.S.S. FOR GIRLS KASUR,7,7,7,1,100.00
3460,GHAZALI PREMIER HIGHER SECONDARY SCHOOL FOR BOYS,22,22,22,18,100.00
2105,GOVT. COLLEGE UNIVERSITY LAHORE,1181,1170,1084,594,92.65
2206,GOVT. KINNAIRD COLLEGE FOR WOMEN LAHORE,943,941,914,358,97.13
2274,PUNJAB COLLEGE FOR WOMEN GULBERG LAHORE,5887,5868,5403,1877,92.08
1158,AKHUWAT COLLEGE FOR BOYS KASUR,96,96,96,44,100.00
3430,AKHUWAT COLLEGE (BOYS) KAMAHAN LAHORE,44,44,43,6,97.73
3440,FAZAIA INTER COLLEGE FOR BOYS LAHORE,35,35,35,4,100.00
2207,LAHORE COLLEGE FOR WOMEN UNIVERSITY,1549,1530,1427,470,93.27
1126,PUNJAB COLLEGE FOR BOYS KASUR,579,574,469,84,81.71
1211,ALLAMA IQBAL PUBLIC HIGHER SEC SCHOOL GIRLS KASUR,14,14,14,2,100.00
1158,AKHUWAT COLLEGE FOR BOYS KASUR,96,96,96,44,100.00
